brand,country,target_market
Chubbies,USA,D2C
Rothy's,USA,D2C
Brooklinen,USA,D2C
Solo Stove,USA,D2C
Vuori,USA,D2C
Outdoor Voices,USA,D2C
Blueland,USA,D2C
True Classic,USA,D2C
Feastables,USA,D2C
Kosas,USA,D2C
Olipop,USA,D2C
Magic Spoon,USA,D2C
Liquid Death,USA,D2C
Poppi,USA,D2C
Graza,USA,D2C
Ridge Wallet,USA,D2C
Manscaped,USA,D2C
Native Deodorant,USA,D2C
Beardbrand,USA,D2C
Caraway,USA,D2C
Our Place,USA,D2C
Jones Road Beauty,USA,D2C
Tushy,USA,D2C
Momofuku Goods,USA,D2C
Parade Underwear,USA,D2C
